file_joint,mapped_name,mapped_type,exists_in_skeleton1_hanim
rcaniner_joint,r_max_canine_root,HAnimSegment,False
rpreol1c_joint,r_max_premolar1,HAnimSegment,False
rpreol1r_joint,r_max_premolar1_root,HAnimSegment,False
rpreol2c_joint,r_max_premolar2,HAnimSegment,False
rpreol2r_joint,r_max_premolar2_root,HAnimSegment,False
rmolar1c_joint,r_max_molar1,HAnimSegment,False
rmolar1r_joint,r_max_molar1_root,HAnimSegment,False
rmolar2c_joint,r_max_molar2,HAnimSegment,False
rmolar2r_joint,r_max_molar2_root,HAnimSegment,False
rmolar3c_joint,r_max_molar3,HAnimSegment,False
rmolar3r_joint,r_max_molar3_root,HAnimSegment,False
lceninlc_joint,l_man_central_inc,HAnimSegment,False
lceninlr_joint,l_man_central_inc_root,HAnimSegment,False
llatinlc_joint,l_man_lateral_inc,HAnimSegment,False
llatinlr_joint,l_man_lateral_inc_root,HAnimSegment,False
lcaninlc_joint,l_man_canine,HAnimSegment,False
lcaninlr_joint,l_man_canine_root,HAnimSegment,False
lprem1lc_joint,l_man_premolar1,HAnimSegment,False
lprem1lr_joint,l_man_premolar1_root,HAnimSegment,False
lprem2lc_joint,l_man_premolar2,HAnimSegment,False
lprem2lr_joint,l_man_premolar2_root,HAnimSegment,False
lmolr1lc_joint,l_man_molar1,HAnimSegment,False
lmolr1lr_joint,l_man_molar1_root,HAnimSegment,False
lmolr2lc_joint,l_man_molar2,HAnimSegment,False
lmolr2lr_joint,l_man_molar2_root,HAnimSegment,False
lmolr3lc_joint,l_man_molar3,HAnimSegment,False
lmolr3lr_joint,l_man_molar3_root,HAnimSegment,False
rceninlc_joint,r_man_central_inc,HAnimSegment,False
rceninlr_joint,r_man_central_inc_root,HAnimSegment,False
rlatinlc_joint,r_man_lateral_inc,HAnimSegment,False
rlatinlr_joint,r_man_lateral_inc_root,HAnimSegment,False
rcaninlc_joint,r_man_canine,HAnimSegment,False
rcaninlr_joint,r_man_canine_root,HAnimSegment,False
rprem1lc_joint,r_man_premolar1,HAnimSegment,False
rprem1lr_joint,r_man_premolar1_root,HAnimSegment,False
rprem2lc_joint,r_man_premolar2,HAnimSegment,False
rprem2lr_joint,r_man_premolar2_root,HAnimSegment,False
rmolr1lc_joint,r_man_molar1,HAnimSegment,False
rmolr1lr_joint,r_man_molar1_root,HAnimSegment,False
rmolr2lc_joint,r_man_molar2,HAnimSegment,False
rmolr2lr_joint,r_man_molar2_root,HAnimSegment,False
rmolr3lc_joint,r_man_molar3,HAnimSegment,False
rmolr3lr_joint,r_man_molar3_root,HAnimSegment,False
lrib2_joint,l_rib2,HAnimSegment,False
lrib3_joint,l_rib3,HAnimSegment,False
lrib4_joint,l_rib4,HAnimSegment,False
lrib5_joint,l_rib5,HAnimSegment,False
lrib6_joint,l_rib6,HAnimSegment,False
lrib7_joint,l_rib7,HAnimSegment,False
lrib8_joint,l_rib8,HAnimSegment,False
lrib9_joint,l_rib9,HAnimSegment,False
lrib10_joint,l_rib10,HAnimSegment,False
lrib11_joint,l_rib11,HAnimSegment,False
lrib12_joint,l_rib12,HAnimSegment,False
rrib2_joint,r_rib2,HAnimSegment,False
rrib3_joint,r_rib3,HAnimSegment,False
rrib4_joint,r_rib4,HAnimSegment,False
rrib5_joint,r_rib5,HAnimSegment,False
rrib6_joint,r_rib6,HAnimSegment,False
rrib7_joint,r_rib7,HAnimSegment,False
rrib8_joint,r_rib8,HAnimSegment,False
rrib9_joint,r_rib9,HAnimSegment,False
rrib10_joint,r_rib10,HAnimSegment,False
rrib11_joint,r_rib11,HAnimSegment,False
rrib12_joint,r_rib12,HAnimSegment,False
lrrib_joint,l_floating_rib,HAnimSegment,False
rrrib_joint,r_floating_rib,HAnimSegment,False
lfreecrt_joint,l_free_cartilage,HAnimSegment,False
rfreecrt_joint,r_free_cartilage,HAnimSegment,False
lcoscart_joint,l_costal_cart,HAnimSegment,False
rcoscart_joint,r_costal_cart,HAnimSegment,False
sternum_joint,sternum,HAnimSegment,True
lccart_joint,l_costal_cart1,HAnimSegment,False
lcartend_joint,l_costal_end,HAnimSegment,False
lccart2_joint,l_costal_cart2,HAnimSegment,False
rccart_joint,r_costal_cart1,HAnimSegment,False
rcartend_joint,r_costal_end,HAnimSegment,False
rccart2_joint,r_costal_cart2,HAnimSegment,False
lclavcle_joint,l_sternoclavicular,HAnimJoint,False
lscapula_joint,l_acromioclavicular,HAnimJoint,False
lhumrus_joint,l_shoulder,HAnimJoint,False
lradius_joint,l_elbow,HAnimJoint,False
lulna_joint,l_elbow,HAnimJoint,False
llunate_joint,l_radiocarpal,HAnimJoint,False
lscphoid_joint,l_radiocarpal,HAnimJoint,False
ltrqtral_joint,l_ulnocarpal,HAnimJoint,False
lpisform_joint,l_pisiform,HAnimSegment,False
lcaptate_joint,l_midcarpal_3,HAnimJoint,False
ltrpzium_joint,l_midcarpal_1,HAnimJoint,False
ltrpzoid_joint,l_midcarpal_2,HAnimJoint,False
lhamate_joint,l_midcarpal_4_5,HAnimJoint,False
lmc_joint,l_carpometacarpal_1,HAnimJoint,False
lmc2_joint,l_carpometacarpal_2,HAnimJoint,False
lmc3_joint,l_carpometacarpal_3,HAnimJoint,False
lmc4_joint,l_carpometacarpal_4,HAnimJoint,False
lmc5_joint,l_carpometacarpal_5,HAnimJoint,False
lpphal_joint,l_metacarpophalangeal_1,HAnimJoint,False
ldphal_joint,l_carpal_interphalangeal_1,HAnimJoint,False
lpphal2_joint,l_metacarpophalangeal_2,HAnimJoint,False
lmphal2_joint,l_carpal_proximal_interphalangeal_2,HAnimJoint,False
ldphal2_joint,l_carpal_distal_interphalangeal_2,HAnimJoint,False
lpphal3_joint,l_metacarpophalangeal_3,HAnimJoint,False
lmphal3_joint,l_carpal_proximal_interphalangeal_3,HAnimJoint,False
ldphal3_joint,l_carpal_distal_interphalangeal_3,HAnimJoint,False
lpphal4_joint,l_metacarpophalangeal_4,HAnimJoint,False
lmphal4_joint,l_carpal_proximal_interphalangeal_4,HAnimJoint,False
ldphal4_joint,l_carpal_distal_interphalangeal_4,HAnimJoint,False
lpphal5_joint,l_metacarpophalangeal_5,HAnimJoint,False
lmphal5_joint,l_carpal_proximal_interphalangeal_5,HAnimJoint,False
ldphal5_joint,l_carpal_distal_interphalangeal_5,HAnimJoint,False
rclavcle_joint,r_sternoclavicular,HAnimJoint,False
rscapula_joint,r_acromioclavicular,HAnimJoint,False
rhumerus_joint,r_shoulder,HAnimJoint,False
rradius_joint,r_elbow,HAnimJoint,False
rulna_joint,r_elbow,HAnimJoint,False
rlunate_joint,r_radiocarpal,HAnimJoint,False
rscphoid_joint,r_radiocarpal,HAnimJoint,False
rtrqtral_joint,r_ulnocarpal,HAnimJoint,False
rpisform_joint,r_pisiform,HAnimSegment,False
rcaptate_joint,r_midcarpal_3,HAnimJoint,False
rtrpzium_joint,r_midcarpal_1,HAnimJoint,False
rtrpzoid_joint,r_midcarpal_2,HAnimJoint,False
rhamate_joint,r_midcarpal_4_5,HAnimJoint,False
rmc_joint,r_carpometacarpal_1,HAnimJoint,False
rmc2_joint,r_carpometacarpal_2,HAnimJoint,False
rmc3_joint,r_carpometacarpal_3,HAnimJoint,False
rmc4_joint,r_carpometacarpal_4,HAnimJoint,False
rmc5_joint,r_carpometacarpal_5,HAnimJoint,False
rpphal_joint,r_metacarpophalangeal_1,HAnimJoint,False
rdphal_joint,r_carpal_interphalangeal_1,HAnimJoint,False
rpphal2_joint,r_metacarpophalangeal_2,HAnimJoint,False
rmphal2_joint,r_carpal_proximal_interphalangeal_2,HAnimJoint,False
rdphal2_joint,r_carpal_distal_interphalangeal_2,HAnimJoint,False
rpphal3_joint,r_metacarpophalangeal_3,HAnimJoint,False
rmphal3_joint,r_carpal_proximal_interphalangeal_3,HAnimJoint,False
rdphal3_joint,r_carpal_distal_interphalangeal_3,HAnimJoint,False
rpphal4_joint,r_metacarpophalangeal_4,HAnimJoint,False
rmphal4_joint,r_carpal_proximal_interphalangeal_4,HAnimJoint,False
rdphal4_joint,r_carpal_distal_interphalangeal_4,HAnimJoint,False
rpphal5_joint,r_metacarpophalangeal_5,HAnimJoint,False
rmphal5_joint,r_carpal_proximal_interphalangeal_5,HAnimJoint,False
rdphal5_joint,r_carpal_distal_interphalangeal_5,HAnimJoint,False
loscoxae_joint,l_hip,HAnimJoint,False
lfemur_joint,l_hip,HAnimJoint,False
lfibula_joint,l_knee,HAnimJoint,False
lowleg_joint,l_knee,HAnimJoint,False
ltibia_joint,l_knee,HAnimJoint,False
ltalus_joint,l_ankle,HAnimJoint,False
lcalc_joint,l_subtalar,HAnimJoint,False
lcuboid_joint,l_calcaneocuboid,HAnimJoint,False
lnaviclr_joint,l_midtarsal,HAnimJoint,False
licun_joint,l_cuneonavicular_1,HAnimJoint,False
llcun_joint,l_cuneonavicular_3,HAnimJoint,False
lmcun_joint,l_cuneonavicular_2,HAnimJoint,False
lfmet_joint,l_tarsometatarsal_1,HAnimJoint,False
lmet2_joint,l_tarsometatarsal_2,HAnimJoint,False
lmet3_joint,l_tarsometatarsal_3,HAnimJoint,False
lmet4_joint,l_tarsometatarsal_4,HAnimJoint,False
lmet5_joint,l_tarsometatarsal_5,HAnimJoint,False
lfpprox_joint,l_metatarsophalangeal_1,HAnimJoint,False
lfmphal_joint,l_tarsal_interphalangeal_1,HAnimJoint,False
lfdphal_joint,l_foot_distal_phalanx_1,HAnimSegment,False
lfpprox2_joint,l_metatarsophalangeal_2,HAnimJoint,False
lfmphal2_joint,l_tarsal_proximal_interphalangeal_2,HAnimJoint,False
lfdphal2_joint,l_tarsal_distal_interphalangeal_2,HAnimJoint,False
lfpprox3_joint,l_metatarsophalangeal_3,HAnimJoint,False
lfmphal3_joint,l_tarsal_proximal_interphalangeal_3,HAnimJoint,False
lfdphal3_joint,l_tarsal_distal_interphalangeal_3,HAnimJoint,False
lfpprox4_joint,l_metatarsophalangeal_4,HAnimJoint,False
lfmphal4_joint,l_tarsal_proximal_interphalangeal_4,HAnimJoint,False
lfdphal4_joint,l_tarsal_distal_interphalangeal_4,HAnimJoint,False
lfpprox5_joint,l_metatarsophalangeal_5,HAnimJoint,False
roscoxae_joint,r_hip,HAnimJoint,False
rfemur_joint,r_hip,HAnimJoint,False
rtibia_joint,r_knee,HAnimJoint,False
rtalus_joint,r_ankle,HAnimJoint,False
rcalc_joint,r_subtalar,HAnimJoint,False
rcuboid_joint,r_calcaneocuboid,HAnimJoint,False
rnaviclr_joint,r_midtarsal,HAnimJoint,False
ricun_joint,r_cuneonavicular_1,HAnimJoint,False
rlcun_joint,r_cuneonavicular_3,HAnimJoint,False
rmcun_joint,r_cuneonavicular_2,HAnimJoint,False
rfmet_joint,r_tarsometatarsal_1,HAnimJoint,False
rmet2_joint,r_tarsometatarsal_2,HAnimJoint,False
rmet3_joint,r_tarsometatarsal_3,HAnimJoint,False
rmet4_joint,r_tarsometatarsal_4,HAnimJoint,False
rmet5_joint,r_tarsometatarsal_5,HAnimJoint,False
rfpprox_joint,r_metatarsophalangeal_1,HAnimJoint,False
rfmphal_joint,r_tarsal_interphalangeal_1,HAnimJoint,False
rfdphal_joint,r_foot_distal_phalanx_1,HAnimSegment,False
rfpprox2_joint,r_metatarsophalangeal_2,HAnimJoint,False
rfmphal2_joint,r_tarsal_proximal_interphalangeal_2,HAnimJoint,False
rfdphal2_joint,r_tarsal_distal_interphalangeal_2,HAnimJoint,False
rfpprox3_joint,r_metatarsophalangeal_3,HAnimJoint,False
rfmphal3_joint,r_tarsal_proximal_interphalangeal_3,HAnimJoint,False
rfdphal3_joint,r_tarsal_distal_interphalangeal_3,HAnimJoint,False
rfpprox4_joint,r_metatarsophalangeal_4,HAnimJoint,False
rfmphal4_joint,r_tarsal_proximal_interphalangeal_4,HAnimJoint,False
rfdphal4_joint,r_tarsal_distal_interphalangeal_4,HAnimJoint,False
rfpprox5_joint,r_metatarsophalangeal_5,HAnimJoint,False
rfdphal5_joint,r_tarsal_distal_interphalangeal_5,HAnimJoint,False
